Inferior (PCI)";Densidade ;Referência;Fatores de Emissão;;Fatores de Emissão (unidades originais) - IPCC (2006);;;;;;;;;Fatores de Emissão (unidades convertidas);;;;;;;;;;Combustível;;;;Definição;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Referência;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;CO2 (kg/TJ);Fonte;CH4 (kg/TJ) por setor de atividade;;;;N2O (kg/TJ) por setor de atividade;;;;;CO2 (kg/un.);CH4 (kg/un.) por setor de atividade;;;;N2O (kg/un.) por setor de atividade;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;(GJ/t);(kg/unidade);;;;Energia;Manufatura ou Construção;Comercial ou Institucional;Residencial, Agricultura, Florestal ou Pesca;Energia;Manufatura ou Construção;Comercial ou Institucional;Residencial, Agricultura, Florestal ou Pesca;;;Energia;Manufatura ou Construção;Comercial ou Institucional;Residencial, Agricultura, Florestal ou Pesca;Energia;Manufatura ou Construção;Comercial ou Institucional;Residencial, Agricultura, Florestal ou Pesca;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Acetileno;-;kg;-;-;Programa Brasileiro GHG Protocol;;-;-;-;-;-;-;-;-;-;;3;-;-;-;-;-;-;-;-;;Acetileno;;;;O acetileno é um hidrocarboneto, cuja fórmula molecular é C₂H₂. Trata-se de uma gás incolor bastante utilizado em processos de solda ou corte de metais por maçarico. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FISPQ ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Carvão Vapor 3300 kcal / kg;Other Bituminous Coal;Toneladas;13,0;1;BEN 2023;101.2;MCTIC 2016;1;10;10;300;1,5;1,5;1,5;1,5;;1.313;0,01298;0,12979;0,12979;389,372;0,019469;0,019469;0,019469;0,019469;;Carvão Vapor 3300 kcal / kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Carvão Vapor 3700 kcal / kg;Other Bituminous Coal;Toneladas;14,7;1;BEN 2023;101.2;MCTIC 2016;1;10;10;300;1,5;1,5;1,5;1,5;;1.483;0,01465;0,14654;0,14654;439,614;0,021981;0,021981;0,021981;0,021981;;Carvão Vapor 3700 kcal / kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Carvão Vapor 4200 kcal / kg;Other Bituminous Coal;Toneladas;16,7;1;BEN 2023;96.067;MCTIC 2016;1;10;10;300;1,5;1,5;1,5;1,5;;1.609;0,01675;0,16747;0,16747;502,416;0,025121;0,025121;0,025121;0,025121;;Carvão Vapor 4200 kcal / kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Carvão Vapor 4500 kcal / kg;Other Bituminous Coal;Toneladas;17,8;1;BEN 2023;96.067;MCTIC 2016;1;10;10;300;1,5;1,5;1,5;1,5;;1.709;0,01779;0,17794;0,17794;533,817;0,026691;0,026691;0,026691;0,026691;;Carvão Vapor 4500 kcal / kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;Carvão Vapor 4700 kcal / kg;Other Bituminous Coal;Toneladas;18,6;1;BEN 2023;94.6;MCTIC 2016;1;10;10;300;1,5;1,5;1,5;1,5;;1.763;0,01863;0,18631;0,18631;558,938;0,027947;0,027947;0,027947;0,027947;;Carvão Vapor 4700 kcal / kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Carvão Vapor 5200 kcal / kg;Other Bituminous Coal;Toneladas;20,5;1;BEN 2023;96.067;MCTIC 2016;1;10;10;300;1,5;1,5;1,5;1,5;;1.971;0,02052;0,20515;0,20515;615,460;0,030773;0,030773;0,030773;0,030773;;Carvão Vapor 5200 kcal / kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Carvão Vapor 5900 kcal / kg;Other Bituminous Coal;Toneladas;23,4;1;BEN 2023;94.6;MCTIC 2016;1;10;10;300;1,5;1,5;1,5;1,5;;2.218;0,02345;0,23446;0,23446;703,382;0,035169;0,035169;0,035169;0,035169;;Carvão Vapor 5900 kcal / kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Carvão Vapor 6000 kcal / kg;Other Bituminous Coal;Toneladas;23,9;1;BEN 2023;94.6;MCTIC 2016;1;10;10;300;1,5;1,5;1,5;1,5;;2.258;0,02386;0,23865;0,23865;715,943;0,035797;0,035797;0,035797;0,035797;;Carvão Vapor 6000 kcal / kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Carvão Vapor sem Especificação;Other Bituminous Coal;Toneladas;11,9;1;BEN 2023;101.2;MCTIC 2016;1;10;10;300;1,5;1,5;1,5;1,5;;1.208;0,01193;0,11932;0,11932;357,971;0,017899;0,017899;0,017899;0,017899;;Carvão Vapor sem Especificação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Coque de Carvão Mineral;Coke Oven Coke and Lignite Coke;Toneladas;28,9;1;BEN 2023;107.067;MCTIC 2016;1;10;10;300;1,5;1,5;1,5;1,5;;3.093;0,02889;0,28889;0,28889;866,668;0,043333;0,043333;0,043333;0,043333;;Coque de Carvão Mineral;;;;Foi utilizado o poder calorífico obtido teoricamente com o emprego da Equação de Dulong, a partir da análise química de uma amostragem média de coque.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;BEN 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
